,rating_ratingValue,rating_worstRating,rating_bestRating,rating_alternateName,creativeWork_author_name,creativeWork_datePublished,creativeWork_author_sameAs,claimReview_author_name,claimReview_author_url,claimReview_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_author,extra_body,extra_refered_links,extra_title,extra_tags,extra_entities_claimReview_claimReviewed,extra_entities_body,extra_entities_keywords,extra_entities_author,related_links
0,,,,False,Leo Benedictus,2022-06-22,,fullfact,,https://fullfact.org/health/rmt-nhs-test-trace-ppe/,"You could fund the NHS for years, give every low-paid worker in Britain an above inflation pay rise and close every food bank in the UK just from the money wasted on PPE and NHS Test and Trace.",2022-06-22,fullfact,,,"https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/expose-false-total-vaccine-deaths/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/44-percent-health-spending/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/test-and-trace-nasa/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/nih-pubmed-scamdemic/?utm_source=content_page&utm_medium=related_content",RMT exaggerates money ‘wasted’ on PPE and NHS Test and Trace,,,,,,
1,,,,Other,Hannah Smith,2022-06-21,,fullfact,,https://fullfact.org/law/ECHR-immigration-libyan-alcoholic/,The ECHR overturned the deportation of a Libyan alcoholic with 78 convictions partly on grounds that it was very hard to buy alcohol in Libya.,2022-06-21,fullfact,,,"https://fullfact.org/online/wef-police-davos/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/law/magna-carta-council-tax/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/law/criminal-barristers-quitting/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/law/prisoners-war-geneva-convention-photographs/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/law/mask-challenge-offence-fine/?utm_source=content_page&utm_medium=related_content",European Court of Human Rights not involved in 2014 deportation case,,,,,,
2,,,,False,Tony Thompson,2022-06-21,,fullfact,,https://fullfact.org/online/petrol-saving-fuel-tips-money/,Filling your car immediately after a delivery to the petrol station will result in fuel full of dirt and debris.,2022-06-21,fullfact,,,"https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/gibraltar-fuel-tax/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/living-wage-take-home-pay/?utm_source=content_page&utm_medium=related_content",Popular tips on filling cars with petrol don’t offer big savings,,,,,,
3,,,,False,Tony Thompson,2022-06-21,,fullfact,,https://fullfact.org/online/petrol-saving-fuel-tips-money/,Filling your car immediately after a delivery to the petrol station will result in fuel full of dirt and debris.,2022-06-21,fullfact,,,"https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/gibraltar-fuel-tax/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/living-wage-take-home-pay/?utm_source=content_page&utm_medium=related_content",Popular tips on filling cars with petrol don’t offer big savings,,,,,,
4,,,,False,Tony Thompson,2022-06-21,,fullfact,,https://fullfact.org/online/petrol-saving-fuel-tips-money/,Filling your car immediately after a delivery to the petrol station will result in fuel full of dirt and debris.,2022-06-21,fullfact,,,"https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/gibraltar-fuel-tax/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/living-wage-take-home-pay/?utm_source=content_page&utm_medium=related_content",Popular tips on filling cars with petrol don’t offer big savings,,,,,,
5,,,,False,Tony Thompson,2022-06-21,,fullfact,,https://fullfact.org/online/petrol-saving-fuel-tips-money/,Filling your car immediately after a delivery to the petrol station will result in fuel full of dirt and debris.,2022-06-21,fullfact,,,"https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/gibraltar-fuel-tax/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/living-wage-take-home-pay/?utm_source=content_page&utm_medium=related_content",Popular tips on filling cars with petrol don’t offer big savings,,,,,,
6,,,,False,Leo Benedictus,2022-06-20,,fullfact,,https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/,One in 10 children have started self-harming.,2022-06-20,fullfact,,,"https://fullfact.org/health/rmt-nhs-test-trace-ppe/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/expose-false-total-vaccine-deaths/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/44-percent-health-spending/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/test-and-trace-nasa/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/nih-pubmed-scamdemic/?utm_source=content_page&utm_medium=related_content","Child self-harm numbers in the Guardian, Mirror and Independent don’t reflect survey’s actual findings",,,,,,
7,,,,False,Leo Benedictus,2022-06-20,,fullfact,,https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/,One in 10 children have started self-harming.,2022-06-20,fullfact,,,"https://fullfact.org/health/rmt-nhs-test-trace-ppe/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/expose-false-total-vaccine-deaths/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/44-percent-health-spending/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/test-and-trace-nasa/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/nih-pubmed-scamdemic/?utm_source=content_page&utm_medium=related_content","Child self-harm numbers in the Guardian, Mirror and Independent don’t reflect survey’s actual findings",,,,,,
8,,,,Other,Grace Rahman,2022-06-20,,fullfact,,https://fullfact.org/immigration/EU-rwanda-flight-court/,The government’s first flight to deport people to Rwanda to have their asylum applications processed there was blocked by the EU.,2022-06-20,fullfact,,,"https://fullfact.org/immigration/rwanda-policy-refugees/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/immigration/hotel-asylum-seekers/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/immigration/passports-backlog-pmqs/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/immigration/rwanda-david-blunkett-boris-johnson/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/ukrainian-council-tax-discount/?utm_source=content_page&utm_medium=related_content",EU court didn’t prevent Rwanda flight from taking off,,,,,,
9,,,,Other,Grace Rahman,2022-06-17,,fullfact,,https://fullfact.org/online/harry-styles-t-shirt/,Harry Styles was photographed wearing a shirt that said “all tories are c****.”,2022-06-17,fullfact,,,"https://fullfact.org/online/petrol-saving-fuel-tips-money/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/immigration/EU-rwanda-flight-court/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/health/test-and-trace-nasa/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/vaccine-chemtrails-australia/?utm_source=content_page&utm_medium=related_content",Picture of Harry Styles wearing t-shirt with obscenity about ‘Tories’ has been Photoshopped,,,,,,
10,,,,Other,Grace Rahman,2022-06-16,,fullfact,,https://fullfact.org/economy/gibraltar-fuel-tax/,A picture of the prices at a petrol station in Gibraltar shows what fuel really costs without tax.,2022-06-16,fullfact,,,"https://fullfact.org/online/petrol-saving-fuel-tips-money/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/living-wage-take-home-pay/?utm_source=content_page&utm_medium=related_content",Are petrol and diesel taxed in Gibraltar?,,,,,,
11,,,,Other,Hannah Smith,2022-06-16,,fullfact,,https://fullfact.org/economy/living-wage-take-home-pay/,"People earning minimum wage take home £1,014.60 per four-week month after taxes.",2022-06-16,fullfact,,,"https://fullfact.org/online/petrol-saving-fuel-tips-money/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/gibraltar-fuel-tax/?utm_source=content_page&utm_medium=related_content",Living expense calculations ignore that not all income is taxed,,,,,,
12,,,,True,Hannah Smith,2022-06-16,,fullfact,,https://fullfact.org/economy/petrol-crude-oil-prices/,"The oil price today is £96 a barrel as petrol approaches £2 per litre. In June 2008, it hit £109 a barrel yet petrol was £1.19 per litre.",2022-06-16,fullfact,,,"https://fullfact.org/online/petrol-saving-fuel-tips-money/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/guardian-mirror-independent-children-self-harm/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/airline-staff-shortages/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/gibraltar-fuel-tax/?utm_source=content_page&utm_medium=related_content",Crude oil is not cheaper in pounds now than in 2008,,,,,,
13,,,,False,Sarah Turnnidge,2022-06-15,,fullfact,,https://fullfact.org/europe/european-court-human-rights-rwanda-eu/,The first asylum seeker flight from the UK to Rwanda was stopped by an EU court.,2022-06-15,fullfact,,,"https://fullfact.org/europe/metric-eu-brexit-pints-metres-pounds/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/europe/crown-pint-glasses-CE-mark/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/solar-installations-vat-eu/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/online/ukraine-white-helmets-contamin-actors/?utm_source=content_page&utm_medium=related_content,https://fullfact.org/economy/russia-ukraine-bloomberg-sanctions/?utm_source=content_page&utm_medium=related_content",Decision to stop Rwanda flight nothing to do with EU,,,,,,
